"data_interesse";"idatendimento"
"2019-01-01";"11438"
"2019-02-01";"11572"
"2019-03-01";"11320"
"2019-04-01";"10745"
"2019-05-01";"11552"
"2019-06-01";"9251"
"2019-07-01";"11926"
"2019-08-01";"11982"
"2019-09-01";"12467"
"2019-10-01";"13059"
"2019-11-01";"11652"
"2019-12-01";"9399"
"2020-01-01";"12770"
"2020-02-01";"12480"
"2020-03-01";"9679"
"2020-04-01";"8810"
"2020-05-01";"11124"
"2020-06-01";"10517"
"2020-07-01";"10009"
"2020-08-01";"10104"
"2020-09-01";"10836"
"2020-10-01";"10389"
"2020-11-01";"10757"
"2020-12-01";"10003"
"2021-01-01";"10956"
"2021-02-01";"12431"
"2021-03-01";"14805"
"2021-04-01";"12289"
"2021-05-01";"11756"
"2021-06-01";"11067"
"2021-07-01";"12108"
"2021-08-01";"12308"
"2021-09-01";"12171"
"2021-10-01";"11231"
"2021-11-01";"11604"
"2021-12-01";"11574"
"2022-01-01";"13090"
"2022-02-01";"13471"
"2022-03-01";"14565"
"2022-04-01";"13345"
"2022-05-01";"14591"
"2022-06-01";"12830"
"2022-07-01";"13962"
"2022-08-01";"15047"
"2022-09-01";"14890"
"2022-10-01";"12479"
"2022-11-01";"13762"
"2022-12-01";"13528"
"2023-01-01";"15252"
"2023-02-01";"14462"
"2023-03-01";"17437"
"2023-04-01";"13027"
"2023-05-01";"16398"
"2023-06-01";"13938"
"2023-07-01";"12854"
"2023-08-01";"16281"
"2023-09-01";"14832"
"2023-10-01";"14201"
"2023-11-01";"14058"
"2023-12-01";"12271"
"2024-01-01";"15128"
"2024-02-01";"15274"
"2024-03-01";"15396"
"2024-04-01";"16166"
"2024-05-01";"15262"
"2024-06-01";"16004"
"2024-07-01";"16654"
"2024-08-01";"16203"
"2024-09-01";"15920"
"2024-10-01";"16389"
"2024-11-01";"15046"
"2024-12-01";"13373"
"2025-01-01";"16970"
"2025-02-01";"16842"
"2025-03-01";"17081"
"2025-04-01";"16167"
"2025-05-01";"17659"
"2025-06-01";"14957"
"2025-07-01";"16712"
"2025-08-01";"4055"
